ID;Test:1. nadala test (Punktid);Test:2. nadala test (Punktid);Test:3. nadala test (Punktid);Test:4. nadala test (Punktid);Test:5. nadala test (Punktid);Test:6. nadala test (Punktid);Test:7. nadala test (Punktid);Test:8. nadala test (Punktid);Test:9. nadala test (Punktid);Test:10. nadala test (Punktid);Test:11. nadala test (Punktid);Test:12. nadala test (Punktid);Test:13. nadala test (Punktid);Test:14. nadala test (Punktid);Test:15. nadala test (Punktid);Test:16. nadala test (Punktid);Videoloengud kokku (Punktid);VPL harjutus:1. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:2. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:3. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:4. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:5. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:7. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:8. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:9. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:10. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:11. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:13. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:14. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);VPL harjutus:15. nadala kodutoo (Punktid);VPL harjutus:Praktikumitoo esitamine (Punktid);Kodutood kokku (Punktid);ulesanne:Esita projekti kirjeldus (Punktid);ulesanne:Projekti algversioon (Punktid);ulesanne:Projekti loppversioon (Punktid);Projekt kokku (Punktid);Test:1. kontrolltoo arvestuslik osa (Punktid);VPL harjutus:1. kontrolltoo programmide esitamine (Punktid);Test:1. KT jareltoo arvestuslik osa (Punktid);VPL harjutus:1. KT jareltoo programmide esitamine (Punktid);Test:1. KT 5.01 lisajareltoo arvestuslik osa (Punktid);VPL harjutus:1. KT 5.01 lisajareltoo programmide esitamine (Punktid);Test:1. KT 25.01 lisajareltoo arvestuslik osa (Punktid);VPL harjutus:1. KT 25.01 lisajareltoo programmide esitamine (Punktid);Test:2. kontrolltoo arvestuslik osa (Punktid);VPL harjutus:2. kontrolltoo programmide esitamine (Punktid);Test:2. KT jareltoo arvestuslik osa (Punktid);VPL harjutus:2. KT jareltoo programmide esitamine (Punktid);Test:2. KT 6.01 lisajareltoo arvestuslik osa (Punktid);VPL harjutus:2. KT 6.01 lisajareltoo programmide esitamine (Punktid);Test:2. KT 26.01 lisajareltoo arvestuslik osa (Punktid);VPL harjutus:2. KT 26.01 lisajareltoo programmide esitamine (Punktid);Kontrolltood kokku (Punktid);Eksamile paas (Punktid);Test:8.01 eksami arvestuslik osa (Punktid);Test:8.01 eksami punktilise osa 1. ulesanne (Punktid);VPL harjutus:8.01 eksami punktilise osa 2. ja 3. ulesande esitamine (Punktid);Test:14.01 eksami arvestuslik osa (Punktid);Test:14.01 eksami punktilise osa 1. ulesanne (Punktid);VPL harjutus:14.01 eksami punktilise osa 2. ja 3. ulesande esitamine (Punktid);Test:27.01 eksami arvestuslik osa (Punktid);Test:27.01 eksami punktilise osa 1. ulesanne (Punktid);VPL harjutus:27.01 eksami punktilise osa 2. ja 3. ulesande esitamine (Punktid);Eksam kokku (Punktid);VPL harjutus:1. lisaulesanne 0 Muster (Punktid);VPL harjutus:2. lisaulesanne 0 Tekstispiraal (Punktid);VPL harjutus:3. lisaulesanne 0 Salasona (Punktid);VPL harjutus:4. lisaulesanne 0 Pakkimine (Punktid);VPL harjutus:5. lisaulesanne 0 Ristmik (Punktid);VPL harjutus:6. lisaulesanne 0 Laburint (Punktid);8. lisaulesanne 0 Loppkusitlus (Punktid);Praktikumide lisapunktid (Punktid);Projektikonkursi punktid (Punktid);Lisapunktid kokku (Punktid);VPL harjutus:Pokkerikate tuvastamise automaatkontroll (Punktid);Test:Kontrolltoo harjutustest (Punktid);Test:Kontrolltoo harjutustest (Punktid);Test:Naidiseksami arvestuslik osa (Punktid);Test:Naidiseksami punktilise osa 1. ulesanne (Punktid);Kogutulemus (Punktid);Hinne (Punktid)
11;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.4;0.5;0.5;0.4;0.4;0.5;0.5;0.5;7;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.0;12.5;0.0;5;5;10.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;1;18;0.0;0.0;0.0;0.0;0.0;0.0;38;1;1;9;20.0;0.0;0.0;0.0;0.0;0.0;0.0;29;0.0;0.0;0.0;0.0;0.0;0.0;1;1;0.0;2;0.0;6.5;9;4;6.1;98.5;98.5
12;0.5;0.5;0.5;0.5;0.5;0.4;0.4;0.5;0.3;0.3;0.3;0.5;0.3;0.4;0.3;0.3;6.56;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.4;0.5;0.4;0.5;12.6;1;5;4;9;1;19.5;0.0;0.0;0.0;0.0;0.0;0.0;1;12.5;0.0;0.0;0.0;0.0;0.0;0.0;32;1;1;8.3;6.5;0.0;0.0;0.0;0.0;0.0;0.0;14.8;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1;0.0;8;9;4;6;75.96;75.96
13;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.0;7;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;13;1;5;5;10.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;1;1;9.9;19.5;0.0;0.0;0.0;0.0;0.0;0.0;29.4;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1;0.0;8;9;4;9.6;100.4;100.0
14;0.4;0.5;0.4;0.0;0.5;0.5;0.5;0.5;0.4;0.5;0.4;0.4;0.3;0.5;0.4;0.3;6.5;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.5;0.0;0.5;11.5;1;5;5;10.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;1;17;0.0;0.0;0.0;0.0;0.0;0.0;37;1;1;9.9;19;0.0;0.0;0.0;0.0;0.0;0.0;28.9;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1;0.0;7.5;9;4;9.1;94.9;94.9
15;0.5;0.5;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;6.57;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.4;0.5;0.2;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;11.9;0.0;5;5;10.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;1;14;0.0;0.0;0.0;0.0;0.0;0.0;34;1;1;8.9;17.5;0.0;0.0;0.0;0.0;0.0;0.0;26.4;2;0.0;0.0;0.0;0.0;0.0;1;2;0.0;5;0.0;8;8.5;3.8;10.0;93.87;93.87
16;0.5;0.5;0.5;0.5;0.4;0.3;0.5;0.5;0.5;0.5;0.4;0.5;0.4;0.4;0.4;0.5;7;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;13;1;5;5;10.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;1;0.0;0.0;0.0;1;9.8;20.0;0.0;0.0;0.0;29.8;0.0;0.0;2;0.0;0.0;0.0;0.0;0.0;2;4;0.0;6.43;6.75;3.75;9.2;103.8;100.0
17;0.5;0.3;0.5;0.4;0.5;0.4;0.4;0.4;0.4;0.4;0.5;0.4;0.4;0.4;0.3;0.3;6.49;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.5;0.5;0.0;0.4;0.5;0.3;0.5;0.2;0.5;0.5;0.5;0.1;0.5;0.3;0.5;11.2;0.0;5;5;10.0;1;14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.5;1;0.0;0.0;0.0;0.0;0.0;27.5;1;0.0;0.0;0.0;1;8.9;11.5;0.0;0.0;0.0;20.4;0.0;0.0;0.0;0.0;0.0;0.0;1;1;0.0;2;0.0;7;9;4;10.0;77.59;77.59
18;0.4;0.5;0.4;0.4;0.3;0.3;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.3;0.0;5.53;0.5;0.5;0.4;0.5;0.5;0.0;0.3;0.5;0.5;0.5;0.2;0.5;0.5;0.5;0.2;0.5;0.3;0.5;0.2;0.5;0.5;0.5;0.1;0.5;0.4;0.5;10.6;1;5;4;9;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;1;19;0.0;0.0;0.0;0.0;0.0;0.0;39;1;0.0;0.0;0.0;1;9.2;19;0.0;0.0;0.0;28.2;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1;0.0;6;8;4;0.0;93.33;93.33
19;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.4;0.4;7;0.5;0.0;0.5;0.5;0.5;0.5;0.4;0.5;0.3;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.3;0.5;0.5;0.5;0.3;0.5;0.3;0.5;0.5;0.0;11.1;1;5;5;10.0;1;19.5;0.0;0.0;0.0;0.0;0.0;0.0;1;19.5;0.0;0.0;0.0;0.0;0.0;0.0;39;1;1;8.5;20.0;0.0;0.0;0.0;0.0;0.0;0.0;28.5;2;0.0;0.0;2;0.0;0.0;0.0;0.0;2;6;0.0;0.0;0.0;4;9.6;101.6;100.0
20.0;0.3;0.4;0.4;0.4;0.4;0.4;0.4;0.0;0.5;0.4;0.4;0.0;0.0;0.0;0.1;0.0;4.26;0.5;0.5;0.5;0.5;0.4;0.5;0.3;0.5;0.2;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.1;0.0;0.2;0.0;0.0;0.0;0.0;0.0;8.7;1;5;5;10.0;1;13.5;0.0;0.0;0.0;0.0;0.0;0.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;33.5;1;0.0;0.0;0.0;1;9.2;15;0.0;0.0;0.0;24.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.5;0.0;2.3;0.0;80.7;80.7
21;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;7;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;13;1;5;5;10.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;1;19;0.0;0.0;0.0;0.0;0.0;0.0;39;1;0.0;0.0;0.0;1;9.8;19;0.0;0.0;0.0;28.8;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;2;3;0.0;7.5;9;4;9.6;100.8;100.0
22;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.4;0.5;0.3;0.0;0.4;0.4;6.88;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.3;0.5;0.3;0.5;0.0;0.5;0.0;0.5;0.0;0.5;11.1;1;5;5;10.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;1;1;10.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0;2;2;0.0;0.0;0.0;0.0;1;0.0;0.0;5;0.0;8;6.5;3;9.2;103.0;100.0
23;0.5;0.4;0.3;0.3;0.3;0.3;0.4;0.4;0.4;0.3;0.4;0.4;0.4;0.4;0.3;0.3;5.51;0.5;0.5;0.3;0.5;0.5;0.5;0.3;0.5;0.3;0.0;0.4;0.5;0.3;0.5;0.0;0.5;0.2;0.5;0.2;0.5;0.3;0.5;0.2;0.0;0.3;0.5;9.3;0.0;5;5;10.0;1;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1;7.5;0.0;0.0;0.0;0.0;0.0;0.0;16;1;1;8.6;6.5;0.0;0.0;0.0;0.0;0.0;0.0;15.1;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1;0.0;8;7.5;4;8.7;56.91;56.91
24;0.5;0.5;0.2;0.4;0.5;0.3;0.5;0.5;0.4;0.5;0.0;0.4;0.4;0.0;0.2;0.0;5.25;0.5;0.0;0.5;0.5;0.3;0.5;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.3;0.5;0.0;0.5;0.3;0.5;0.0;0.5;0.0;0.5;10.3;0.0;5;5;10.0;1;4;0.0;11;0.0;0.0;0.0;0.0;0.0;10.0;1;0.0;0.0;0.0;0.0;0.0;21;1;0.0;0.0;0.0;1;7.6;6;0.0;0.0;0.0;13.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;0.0;2;0.0;8;9;4;6.3;62.15;62.15
25;0.5;0.4;0.4;0.4;0.4;0.5;0.5;0.5;0.4;0.5;0.5;0.4;0.3;0.4;0.2;0.4;6.76;0.5;0.5;0.5;0.5;0.4;0.5;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;12.7;1;5;5;10.0;1;19;0.0;0.0;0.0;0.0;0.0;0.0;1;18.5;0.0;0.0;0.0;0.0;0.0;0.0;37.5;1;0.0;0.0;0.0;1;9.9;19.5;0.0;0.0;0.0;29.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8;8.5;4;0.0;96.36;96.36
26;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.4;0.5;7;0.5;0.0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.4;0.5;0.5;0.5;0.4;0.5;12.2;1;5;5;10.0;1;15;0.0;19;0.0;0.0;0.0;0.0;1;19;0.0;0.0;0.0;0.0;0.0;0.0;38;1;1;9.7;18.5;0.0;0.0;0.0;0.0;0.0;0.0;28.2;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1;0.0;5.5;8;3.25;8.1;96.4;96.4
27;0.5;0.5;0.5;0.4;0.5;0.5;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.3;0.0;6.91;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.5;12.7;1;5;5;10.0;1;19.5;0.0;0.0;0.0;0.0;0.0;0.0;1;20.0;0.0;0.0;0.0;0.0;0.0;0.0;39.5;1;1;10.0;19.5;0.0;0.0;0.0;0.0;0.0;0.0;29.5;0.0;0.0;0.0;2;0.0;0.0;1;0.0;0.0;3;0.0;8;7.5;4;10.0;101.6;100.0
